institute_short,program_name,program_duration,degree_short,quota,pool,category,is_preparatory,opening_rank,closing_rank
IIT-Kanpur,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,OBC-NCL-PWD,1,7,7
IIT-Kharagpur,Aerospace Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,7,7
IIT-Kanpur,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,SC-PWD,0,7,7
IIT-Bhubaneswar,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,7,51
IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,SC-PWD,0,7,7
IIT-Delhi,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-PWD,0,7,18
IIT-Guwahati,Mathematics and Computing,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,7,92
IIT-Bombay,Electrical Engineering with M.Tech. in Communications and Signal Processing,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,SC-PWD,0,7,7
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS,0,7,32
NIT-Calicut,Architecture,5 Years,B.Arch,OS,Gender-Neutral,ST,0,7,66
IIT-Bombay,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,7,7
IIT-Delhi,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,7,24
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,ST,0,7,198
IIT-Madras,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,8,8
IIT-Delhi,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,8,184
NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-EWS-PWD,0,8,19
